Product ID,Description,Rebate Eligible,CO2 Equivalent,Enabled
"DIESEL","Diesel","Yes","2.54","Yes"
"10W","SAE 10","No","1.5","Yes"
"30W","SAE 30","No","1.5","Yes"
"60W","SAE 60","No","1.5","Yes"
"COOLANT","Coolant","No","1.5","Yes"
"DELO400","SAE 15W40","No","1.5","Yes"
"DIESEL_350","DIESEL 350LPM","Yes","","Yes"
"DIESEL_500","DIESEL 500LPM","No","","Yes"
"DIESEL_850","DIESEL 850LPM","Yes","","Yes"
"GR0","MPG Arctic Grease","No","","Yes"
"GR1","MPG Summer Grease","No","","Yes"
"GREASE","Grease","No","1.5","Yes"
"MEROPA 320","GEAR OIL MEROPA 320","No","","No"
"RANDO 68","HYDRAULIC OIL RANDO 68","No","","No"
"THUBAN 85/140","SAE 85W140","No","1.5","Yes"
"WASTE","Waste","No","","Yes"
"WATER","Water","No","","Yes"
